PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789334742.6647,717.93134,7733996518,0.46229,0.09449,1,0.51634,0.31390,0,0.46229,0.09449,1
1789334742.6711,717.93781,7734061127,0.47176,0.10913,1,0.51634,0.31390,0,0.47176,0.10913,1
1789334742.6778,717.94452,7734128183,0.47176,0.10913,1,0.51634,0.31390,0,0.47176,0.10913,1
1789334742.6848,717.95148,7734197679,0.47286,0.12672,1,0.51634,0.31390,0,0.47286,0.12672,1
1789334742.6917,717.95837,7734266659,0.46846,0.13633,1,0.51634,0.31390,0,0.46846,0.13633,1
1789334742.6982,717.96484,7734331624,0.46766,0.12930,1,0.51634,0.31390,0,0.46766,0.12930,1
1789334742.7046,717.97125,7734395845,0.47070,0.09400,1,0.51634,0.31390,0,0.47070,0.09400,1
1789334742.7115,717.97821,7734465354,0.47903,0.10430,1,0.51634,0.31390,0,0.47903,0.10430,1
1789334742.7181,717.98474,7734530348,0.47768,0.09059,1,0.51634,0.31390,0,0.47768,0.09059,1
1789334742.7247,717.99139,7734596929,0.47601,0.07999,1,0.51634,0.31390,0,0.47601,0.07999,1
1789334742.7317,717.99835,7734666612,0.46764,0.08597,1,0.51634,0.31390,0,0.46764,0.08597,1
1789334742.7381,718.00482,7734731120,0.46764,0.08597,1,0.51634,0.31390,0,0.46764,0.08597,1
1789334742.7448,718.01147,7734797995,0.46998,0.06792,1,0.51634,0.31390,0,0.46998,0.06792,1
1789334742.7518,718.01849,7734867893,0.45995,0.11367,1,0.51634,0.31390,0,0.45995,0.11367,1
1789334742.7582,718.02490,7734931997,0.45995,0.11367,1,0.51634,0.31390,0,0.45995,0.11367,1
1789334742.7653,718.03198,7735002732,0.45976,0.08284,1,0.51634,0.31390,0,0.45976,0.08284,1
1789334742.7718,718.03851,7735068100,0.48148,0.07058,1,0.51634,0.31390,0,0.48148,0.07058,1
1789334742.7786,718.04523,7735135293,0.48148,0.07058,1,0.51634,0.31390,0,0.48148,0.07058,1
1789334742.7850,718.05170,7735200206,0.46823,0.09712,1,0.51634,0.31390,0,0.46823,0.09712,1
1789334742.7917,718.05835,7735266747,0.46530,0.08549,1,0.51634,0.31390,0,0.46530,0.08549,1
1789334742.7986,718.06531,7735335913,0.46443,0.07756,1,0.51634,0.31390,0,0.46443,0.07756,1
1789334742.8051,718.07178,7735400679,0.46678,0.10133,1,0.51634,0.31390,0,0.46678,0.10133,1
1789334742.8118,718.07843,7735467555,0.47186,0.06023,1,0.51634,0.31390,0,0.47186,0.06023,1
1789334742.8187,718.08539,7735537000,0.47033,0.04496,1,0.51634,0.31390,0,0.47033,0.04496,1
1789334742.8252,718.09186,7735601584,0.46853,0.04809,1,0.51634,0.31390,0,0.46853,0.04809,1
1789334742.8321,718.09875,7735670902,0.48205,0.04000,1,0.51634,0.31390,0,0.48205,0.04000,1
1789334742.8385,718.10522,7735735595,0.48205,0.04000,1,0.51634,0.31390,0,0.48205,0.04000,1
1789334742.8455,718.11218,7735804943,0.55825,0.04259,1,0.51634,0.31390,0,0.55825,0.04259,1
1789334742.8520,718.11865,7735869532,0.57665,0.04589,1,0.51634,0.31390,0,0.57665,0.04589,1
1789334742.8587,718.12537,7735936551,0.57665,0.04589,1,0.51634,0.31390,0,0.57665,0.04589,1
1789334742.8656,718.13232,7736006325,0.63824,0.01841,1,0.51634,0.31390,0,0.63824,0.01841,1
1789334742.8721,718.13879,7736070802,0.61061,0.02332,1,0.51634,0.31390,0,0.61061,0.02332,1
1789334742.8790,718.14569,7736139732,0.61082,0.01414,1,0.51634,0.31390,0,0.61082,0.01414,1
1789334742.8855,718.15216,7736204600,0.62361,0.08893,1,0.51634,0.31390,0,0.62361,0.08893,1
1789334742.8921,718.15881,7736271432,0.61140,0.04298,1,0.51634,0.31390,0,0.61140,0.04298,1
1789334742.8991,718.16577,7736340799,0.61142,0.04230,1,0.51634,0.31390,0,0.61142,0.04230,1
1789334742.9056,718.17224,7736405629,0.63691,0.05199,1,0.51634,0.31390,0,0.63691,0.05199,1
1789334742.9123,718.17896,7736472489,0.62589,0.10786,1,0.51634,0.31390,0,0.62589,0.10786,1
1789334742.9192,718.18585,7736541862,0.62493,0.13163,1,0.51634,0.31390,0,0.62493,0.13163,1
1789334742.9256,718.19232,7736606484,0.62106,0.08956,1,0.51634,0.31390,0,0.62106,0.08956,1
1789334742.9331,718.19977,7736680842,0.62593,0.08406,1,0.51634,0.31390,0,0.62593,0.08406,1
1789334742.9391,718.20575,7736740497,0.62651,0.06895,1,0.51634,0.31390,0,0.62651,0.06895,1
1789334742.9460,718.21271,7736810365,0.61784,0.09253,1,0.51634,0.31390,0,0.61784,0.09253,1
1789334742.9524,718.21912,7736874426,0.60593,0.07813,1,0.51634,0.31390,0,0.60593,0.07813,1
1789334742.9592,718.22583,7736941230,0.60593,0.07813,1,0.51634,0.31390,0,0.60593,0.07813,1
1789334742.9661,718.23279,7737010802,0.62553,0.09704,1,0.51634,0.31390,0,0.62553,0.09704,1
1789334742.9725,718.23920,7737075211,0.60460,0.11181,1,0.51634,0.31390,0,0.60460,0.11181,1
1789334742.9795,718.24615,7737144463,0.60477,0.10345,1,0.51634,0.31390,0,0.60477,0.10345,1
1789334742.9859,718.25262,7737209211,0.61908,0.05515,1,0.51634,0.31390,0,0.61908,0.05515,1
1789334742.9927,718.25934,7737276180,0.63833,0.06163,1,0.51634,0.31390,0,0.63833,0.06163,1
1789334742.9996,718.26624,7737345416,0.63873,0.05355,1,0.51634,0.31390,0,0.63873,0.05355,1
1789334743.0061,718.27277,7737410648,0.62570,0.02469,1,0.51634,0.31390,0,0.62570,0.02469,1
1789334743.0127,718.27942,7737477126,0.61896,0.07455,1,0.51634,0.31390,0,0.61896,0.07455,1
1789334743.0197,718.28638,7737546794,0.61843,0.09114,1,0.51634,0.31390,0,0.61843,0.09114,1
1789334743.0261,718.29279,7737610986,0.62937,0.06681,1,0.51634,0.31390,0,0.62937,0.06681,1
1789334743.0331,718.29974,7737680557,0.61171,0.09430,1,0.51634,0.31390,0,0.61171,0.09430,1
1789334743.0395,718.30621,7737745139,0.61171,0.09430,1,0.51634,0.31390,0,0.61171,0.09430,1
1789334743.0464,718.31311,7737814364,0.61553,0.10793,1,0.51634,0.31390,0,0.61553,0.10793,1
1789334743.0531,718.31982,7737881509,0.61456,0.08336,1,0.51634,0.31390,0,0.61456,0.08336,1
1789334743.0596,718.32629,7737945874,0.61456,0.08336,1,0.51634,0.31390,0,0.61456,0.08336,1
1789334743.0666,718.33325,7738015401,0.62613,0.09108,1,0.51634,0.31390,0,0.62613,0.09108,1
1789334743.0733,718.33997,7738082707,0.62535,0.09325,1,0.51634,0.31390,0,0.62535,0.09325,1
1789334743.0797,718.34637,7738146960,0.62506,0.10073,1,0.51634,0.31390,0,0.62506,0.10073,1
1789334743.0867,718.35333,7738216163,0.63508,0.10604,1,0.51634,0.31390,0,0.63508,0.10604,1
1789334743.0931,718.35980,7738281042,0.61028,0.10897,1,0.51634,0.31390,0,0.61028,0.10897,1
1789334743.0998,718.36646,7738347929,0.61009,0.11626,1,0.51634,0.31390,0,0.61009,0.11626,1
1789334743.1068,718.37347,7738417650,0.63893,0.11065,1,0.51634,0.31390,0,0.63893,0.11065,1
1789334743.1136,718.38031,7738486035,0.62523,0.10144,1,0.51634,0.31390,0,0.62523,0.10144,1
1789334743.1202,718.38684,7738551285,0.62551,0.09420,1,0.51634,0.31390,0,0.62551,0.09420,1
1789334743.1266,718.39331,7738615894,0.64589,0.24780,1,0.51634,0.31390,0,0.64589,0.24780,1
1789334743.1333,718.39996,7738683012,0.68577,0.35686,1,0.51634,0.31390,0,0.68577,0.35686,1
1789334743.1400,718.40668,7738749888,0.68425,0.36782,1,0.51634,0.31390,0,0.68425,0.36782,1
1789334743.1467,718.41339,7738817072,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.1534,718.42010,7738883952,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.1604,718.42706,7738953689,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.1668,718.43347,7739017932,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.1738,718.44043,7739087292,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.1802,718.44684,7739151742,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.1869,718.45355,7739218559,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.1938,718.46051,7739288343,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.2003,718.46698,7739352674,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.2074,718.47406,7739423420,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.2137,718.48035,7739486660,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.2206,718.48724,7739555810,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.2270,718.49371,7739620517,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.2338,718.50043,7739687551,0.68425,0.36782,0,0.51634,0.31390,0,0.68425,0.36782,0
1789334743.2407,718.50739,7739757200,0.68350,0.37317,1,0.51634,0.31390,0,0.68350,0.37317,1
1789334743.2472,718.51385,7739821434,0.71049,0.14726,1,0.51634,0.31390,0,0.71049,0.14726,1
1789334743.2541,718.52075,7739890790,0.74112,0.13187,1,0.51634,0.31390,0,0.74112,0.13187,1
1789334743.2606,718.52728,7739955616,0.74112,0.13187,1,0.51634,0.31390,0,0.74112,0.13187,1
1789334743.2676,718.53424,7740025208,0.71992,0.09152,1,0.51634,0.31390,0,0.71992,0.09152,1
1789334743.2740,718.54065,7740089362,0.72692,0.12964,1,0.51634,0.31390,0,0.72692,0.12964,1
1789334743.2809,718.54761,7740158870,0.72513,0.14254,1,0.51634,0.31390,0,0.72513,0.14254,1
1789334743.2877,718.55438,7740226875,0.70757,0.15175,1,0.69492,0.29957,1,0.70124,0.22566,1
1789334743.2943,718.56097,7740292625,0.71037,0.15688,1,0.71293,0.35155,1,0.71165,0.25421,1
1789334743.3008,718.56744,7740357344,0.70784,0.17678,1,0.70975,0.36352,1,0.70879,0.27015,1
1789334743.3077,718.57434,7740426592,0.71266,0.18395,1,0.71494,0.31278,1,0.71380,0.24836,1
1789334743.3144,718.58105,7740493530,0.71753,0.16258,1,0.70941,0.32135,1,0.71347,0.24197,1
1789334743.3208,718.58752,7740558431,0.71758,0.16221,1,0.70696,0.33113,1,0.71227,0.24667,1
1789334743.3278,718.59448,7740627692,0.71386,0.15915,1,0.70485,0.32961,1,0.70936,0.24438,1
1789334743.3345,718.60120,7740695164,0.71199,0.19576,1,0.70123,0.33747,1,0.70661,0.26662,1
1789334743.3410,718.60767,7740759711,0.70877,0.21940,1,0.69586,0.35922,1,0.70232,0.28931,1
1789334743.3479,718.61462,7740829182,0.71009,0.22855,1,0.68392,0.36449,1,0.69700,0.29652,1
1789334743.3544,718.62103,7740893259,0.72758,0.24464,1,0.68677,0.38604,1,0.70717,0.31534,1
1789334743.3613,718.62793,7740962514,0.72675,0.24970,1,0.68816,0.38037,1,0.70745,0.31503,1
1789334743.3677,718.63440,7741027108,0.71711,0.24721,1,0.70483,0.35777,1,0.71097,0.30249,1
1789334743.3744,718.64111,7741094325,0.71800,0.23776,1,0.70589,0.34994,1,0.71195,0.29385,1
1789334743.3814,718.64807,7741163576,0.71970,0.22643,1,0.70858,0.33946,1,0.71414,0.28294,1
1789334743.3878,718.65448,7741228104,0.71710,0.19527,1,0.69891,0.31648,1,0.70800,0.25588,1
1789334743.3948,718.66144,7741297458,0.71907,0.18471,1,0.69813,0.33646,1,0.70860,0.26058,1
1789334743.4016,718.66827,7741365545,0.71979,0.17953,1,0.69792,0.33731,1,0.70886,0.25842,1
1789334743.4079,718.67462,7741429260,0.72826,0.19212,1,0.69712,0.34356,1,0.71269,0.26784,1
1789334743.4147,718.68134,7741496169,0.72401,0.20014,1,0.70363,0.34726,1,0.71382,0.27370,1
1789334743.4216,718.68823,7741565413,0.72234,0.21134,1,0.70106,0.35741,1,0.71170,0.28437,1
1789334743.4283,718.69495,7741632724,0.70462,0.30427,1,0.69158,0.39782,1,0.69810,0.35104,1
1789334743.4347,718.70142,7741697242,0.69575,0.35135,1,0.68411,0.48607,1,0.68993,0.41871,1
