PC_TIME,TIME,TIME_TICK,BPOGX,BPOGY,BPOGV
1784418392.1785,246.27855,2869032374,0.48781,0.47442,1
1784418392.1855,246.28555,2869102449,0.48772,0.47368,1
1784418392.1919,246.29193,2869166247,0.49487,0.47629,1
1784418392.1990,246.29900,2869236898,0.49229,0.46767,1
1784418392.2055,246.30556,2869302483,0.49224,0.46197,1
1784418392.2124,246.31245,2869371393,0.48506,0.45611,1
1784418392.2192,246.31920,2869438915,0.48447,0.44674,1
1784418392.2257,246.32573,2869504145,0.48384,0.44153,1
1784418392.2321,246.33212,2869568116,0.47753,0.43446,1
1784418392.2390,246.33904,2869637325,0.47670,0.43385,1
1784418392.2455,246.34554,2869702238,0.47670,0.43385,1
1784418392.2522,246.35223,2869769271,0.48405,0.42884,1
1784418392.2589,246.35890,2869836005,0.48096,0.42578,1
1784418392.2656,246.36560,2869902941,0.48032,0.42284,1
1784418392.2725,246.37253,2869972253,0.49401,0.39836,1
1784418392.2790,246.37901,2870036996,0.48821,0.37358,1
1784418392.2857,246.38573,2870104125,0.48816,0.37035,1
1784418392.2926,246.39268,2870173771,0.45696,0.22037,1
1784418392.2994,246.39948,2870241680,0.45778,0.18266,1
1784418392.3057,246.40579,2870304778,0.45778,0.18266,1
1784418392.3125,246.41251,2870371964,0.46064,0.15385,1
1784418392.3192,246.41920,2870438911,0.46542,0.14554,1
1784418392.3259,246.42592,2870506064,0.46708,0.16557,1
1784418392.3326,246.43260,2870572967,0.46550,0.19128,1
1784418392.3392,246.43929,2870639731,0.46759,0.19785,1
1784418392.3462,246.44626,2870709538,0.46929,0.21735,1
1784418392.3531,246.45317,2870778602,0.45879,0.19130,1
1784418392.3593,246.45938,2870840786,0.47157,0.19911,1
1784418392.3663,246.46632,2870910106,0.47059,0.18193,1
1784418392.3732,246.47325,2870979480,0.46624,0.17241,1
1784418392.3798,246.47984,2871045341,0.46040,0.13748,1
1784418392.3865,246.48653,2871112246,0.45711,0.10540,1
1784418392.3931,246.49310,2871177984,0.46536,0.09380,1
1784418392.3999,246.49995,2871246451,0.46374,0.09488,1
1784418392.4065,246.50653,2871312208,0.46455,0.10346,1
1784418392.4134,246.51341,2871380962,0.47306,0.11019,1
1784418392.4199,246.51991,2871446109,0.47159,0.12604,1
1784418392.4265,246.52658,2871512788,0.47313,0.14655,1
1784418392.4336,246.53369,2871583820,0.47259,0.16637,1
1784418392.4397,246.53979,2871644841,0.47425,0.16288,1
1784418392.4466,246.54669,2871713795,0.47574,0.17916,1
1784418392.4531,246.55318,2871778713,0.47347,0.18740,1
1784418392.4600,246.56009,2871847797,0.47275,0.18342,1
1784418392.4668,246.56686,2871915593,0.47275,0.18342,1
1784418392.4732,246.57327,2871979655,0.47112,0.18393,1
1784418392.4803,246.58037,2872050617,0.47060,0.17152,1
1784418392.4866,246.58667,2872113586,0.47060,0.17152,1
1784418392.4936,246.59369,2872183834,0.46607,0.17424,1
1784418392.5000,246.60007,2872247623,0.46515,0.17640,1
