plik,wariant,powtorzenie,liczba_fiksacji,score,fix_prog_duration,fix_reg_duration,fix_reg_std,fix_dur_std,sac_prog_pos_x_mean,sac_prog_dist_avg,sac_prog_range,sac_prog_y_stab,sac_reg_y_stab
Subject_1075_T4_Meaningful_Text_raw.csv,dup,0,191,0.22,339.5374149659864,343.90697674418607,254.52407150322907,274.97003223284923,850.234642857143,1.8108855283596001,12.01370748245737,0.22939524929943514,0.5098842299963078
Subject_1075_T4_Meaningful_Text_raw.csv,dup,1,191,0.22,339.72972972972974,344.0,257.5030281837663,275.70451954995474,847.0889527027027,1.7959713794579577,12.01370748245737,0.22848699095415836,0.5206611620728507
Subject_1075_T4_Meaningful_Text_raw.csv,dup,2,190,0.27,338.0952380952381,358.0952380952381,273.03477970710105,275.1454626112665,850.2419047619047,1.8061007718489486,12.01370748245737,0.2303373212380136,0.5171297494032588
Subject_1075_T4_Meaningful_Text_raw.csv,dup,3,191,0.22,339.6756756756757,344.1904761904762,257.5428987007831,275.652254382845,847.0907263513513,1.795990480063755,12.01370748245737,0.22849154119904566,0.5207605894616157
Subject_1075_T4_Meaningful_Text_raw.csv,dup,4,190,0.2,341.46938775510205,344.1904761904762,257.569522569958,275.74019326682406,844.8447789115646,1.8081235573527574,12.01370748245737,0.20519561491507313,0.5205617328253594
Subject_1075_T4_Meaningful_Text_raw.csv,dup,5,191,0.26,335.23809523809524,358.13953488372096,269.8786619166532,272.7035036428725,850.24481292517,1.8114698336253126,12.01370748245737,0.2298690343864337,0.5086091548062769
Subject_1075_T4_Meaningful_Text_raw.csv,dup,6,189,0.24,339.8082191780822,357.9047619047619,273.071053855063,275.2357444838373,848.0107191780822,1.8185966415627624,12.01370748245737,0.20670071248972957,0.5167961746838325
Subject_1075_T4_Meaningful_Text_raw.csv,dup,7,190,0.22,342.01360544217687,344.2857142857143,257.4784582495884,276.1889441183075,850.19018707483,1.8076029823958601,12.01370748245737,0.22996800613450893,0.5210139800900269
Subject_1075_T4_Meaningful_Text_raw.csv,dup,8,189,0.2,343.6986301369863,344.57142857142856,257.4890790894638,276.075856935714,847.9449315068493,1.8200177453650486,12.01370748245737,0.20623290677040293,0.5206226696093471
Subject_1075_T4_Meaningful_Text_raw.csv,dup,9,190,0.2,341.38775510204084,344.2857142857143,257.53615425469746,276.1489822320764,844.8310884353741,1.80827112351736,12.01370748245737,0.20516629071469522,0.5206451262246294
Subject_1075_T4_Meaningful_Text_raw.csv,dup,10,189,0.2,343.83561643835617,344.3809523809524,257.4805542709282,276.0627635555159,847.9454452054795,1.8200269721852247,12.01370748245737,0.20616555122482666,0.5205873876563422
Subject_1075_T4_Meaningful_Text_raw.csv,dup,11,190,0.23,342.0952380952381,344.4761904761905,257.5373517149399,276.00274277010453,850.1766666666666,1.8076203982382495,12.01370748245737,0.2299130233830223,0.52095624411949
Subject_1075_T4_Meaningful_Text_raw.csv,mono,0,193,0.24,331.6756756756757,353.72727272727275,267.8498870327764,271.69252384294265,847.1631081081081,1.803289103831606,12.01370748245737,0.22900672503949995,0.5004207439425873
Subject_1075_T4_Meaningful_Text_raw.csv,mono,1,192,0.2,337.86486486486484,340.09302325581393,255.37057559859477,275.07815808521684,847.1227871621621,1.799773302743512,12.01370748245737,0.2293517017935072,0.5118610662490076
Subject_1075_T4_Meaningful_Text_raw.csv,mono,2,192,0.26,332.7837837837838,357.7674418604651,269.8841127017386,272.62924750881405,847.1509966216216,1.799787465738704,12.01370748245737,0.22881739893430267,0.5087062818868006
Subject_1075_T4_Meaningful_Text_raw.csv,mono,3,192,0.25,333.81081081081084,354.51162790697674,270.9034301544426,272.7103537931265,847.1367229729731,1.8002125694805158,12.01370748245737,0.22943544185927842,0.510564054687869
Subject_1075_T4_Meaningful_Text_raw.csv,mono,4,191,0.23,334.6938775510204,357.95348837209303,269.8704214031178,272.6432088725414,844.905918367347,1.8119949518247134,12.01370748245737,0.20532666346281855,0.5097305411803937
Subject_1075_T4_Meaningful_Text_raw.csv,mono,5,190,0.2,341.3424657534247,343.8139534883721,254.5247514636361,275.2373613755097,847.9871746575343,1.8233384041199698,12.01370748245737,0.20565806937075995,0.5100596721548024
Subject_1075_T4_Meaningful_Text_raw.csv,mono,6,189,0.24,339.8904109589041,358.0,273.14081489573243,275.4626734120699,848.0081506849315,1.8184415860626528,12.01370748245737,0.20688524928999769,0.5173093613214846
Subject_1075_T4_Meaningful_Text_raw.csv,mono,7,189,0.2,343.8082191780822,344.1904761904762,257.5118340410821,276.1877581005136,847.9364554794521,1.8199835965674374,12.01370748245737,0.2065521584847616,0.5210139815243252
Subject_1075_T4_Meaningful_Text_raw.csv,mono,8,191,0.22,339.4013605442177,343.90697674418607,254.58692616585964,275.1375036691221,850.2401530612244,1.8108232228182877,12.01370748245737,0.22922112935252414,0.510153656841174
Subject_1075_T4_Meaningful_Text_raw.csv,mono,9,191,0.23,334.91156462585036,358.04651162790697,269.89661702803926,272.9654925776408,844.8855782312926,1.8119015872877091,12.01370748245737,0.2049903389632482,0.5084681761845694
Subject_1075_T4_Meaningful_Text_raw.csv,mono,10,190,0.2,341.03401360544217,344.3809523809524,257.5042257980534,273.41064546325106,847.2692006802721,1.80772297459634,12.01370748245737,0.20484462529915204,0.5208087105191412
Subject_1075_T4_Meaningful_Text_raw.csv,mono,11,190,0.24,337.47945205479454,358.04651162790697,269.96140581084205,272.78393142008423,847.9897260273973,1.8236730304584738,12.01370748245737,0.20628365740894505,0.5088127832579793
