PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789335192.3627,280.07159,12230940362,0.50591,0.71835,1,0.50431,0.71272,1,0.50511,0.71554,1
1789335192.3691,280.07800,12231004605,0.48908,0.72977,1,0.49075,0.71808,1,0.48991,0.72392,1
1789335192.3761,280.08496,12231074108,0.49101,0.69217,1,0.49807,0.71118,1,0.49454,0.70167,1
1789335192.3825,280.09140,12231138410,0.49043,0.68819,1,0.49823,0.70713,1,0.49433,0.69766,1
1789335192.3892,280.09808,12231205462,0.50253,0.66936,1,0.49764,0.70034,1,0.50008,0.68485,1
1789335192.3962,280.10510,12231275603,0.50751,0.63270,1,0.49027,0.65734,1,0.49889,0.64502,1
1789335192.4026,280.11151,12231339524,0.50751,0.63270,1,0.49016,0.66228,1,0.49884,0.64749,1
1789335192.4093,280.11819,12231406472,0.50465,0.55137,1,0.48785,0.58871,1,0.49625,0.57004,1
1789335192.4162,280.12512,12231475730,0.48705,0.52781,1,0.47498,0.52780,1,0.48102,0.52780,1
1789335192.4229,280.13181,12231542684,0.48834,0.53905,1,0.47498,0.52620,1,0.48166,0.53262,1
1789335192.4296,280.13852,12231609760,0.52393,0.52515,1,0.50166,0.53094,1,0.51280,0.52805,1
1789335192.4364,280.14526,12231677042,0.51512,0.53032,1,0.50446,0.54087,1,0.50979,0.53560,1
1789335192.4430,280.15189,12231743454,0.51456,0.52288,1,0.50448,0.54025,1,0.50952,0.53157,1
1789335192.4497,280.15863,12231810748,0.50444,0.51746,1,0.49582,0.54541,1,0.50013,0.53144,1
1789335192.4564,280.16531,12231877547,0.50229,0.52807,1,0.50413,0.56341,1,0.50321,0.54574,1
1789335192.4632,280.17206,12231945015,0.50243,0.52959,1,0.50407,0.56493,1,0.50325,0.54726,1
1789335192.4699,280.17877,12232012151,0.49690,0.54113,1,0.50616,0.53094,1,0.50153,0.53603,1
1789335192.4763,280.18515,12232076143,0.49582,0.53545,1,0.50304,0.52130,1,0.49943,0.52837,1
