PC_TIME,TIME,TIME_TICK,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV
1789335216.0952,303.81015,12468326137,0.60504,0.74097,1,0.63604,0.74265,1,0.62054,0.74181,1
1789335216.1017,303.81659,12468390386,0.58093,0.73897,1,0.63360,0.73871,1,0.60727,0.73884,1
1789335216.1084,303.82330,12468457571,0.58115,0.73077,1,0.63490,0.73450,1,0.60802,0.73263,1
1789335216.1153,303.83026,12468527219,0.60538,0.74417,1,0.61434,0.73881,1,0.60986,0.74149,1
1789335216.1218,303.83667,12468591276,0.60881,0.74282,1,0.63570,0.74652,1,0.62226,0.74467,1
1789335216.1285,303.84344,12468659004,0.60882,0.74273,1,0.63717,0.74190,1,0.62300,0.74231,1
1789335216.1352,303.85010,12468725471,0.60535,0.70829,1,0.63974,0.73945,1,0.62255,0.72387,1
1789335216.1419,303.85681,12468792492,0.60447,0.71359,1,0.63358,0.74753,1,0.61903,0.73056,1
1789335216.1490,303.86392,12468863809,0.60419,0.71760,1,0.63095,0.75592,1,0.61757,0.73676,1
1789335216.1553,303.87018,12468926274,0.60312,0.73473,1,0.62874,0.72029,1,0.61593,0.72751,1
1789335216.1622,303.87711,12468995549,0.60401,0.74945,1,0.62198,0.75133,1,0.61300,0.75039,1
1789335216.1690,303.88391,12469063694,0.60307,0.76196,1,0.61799,0.76493,1,0.61053,0.76344,1
1789335216.1756,303.89050,12469129628,0.61946,0.78122,1,0.61435,0.75916,1,0.61690,0.77019,1
1789335216.1823,303.89722,12469196573,0.61777,0.78065,1,0.61480,0.76093,1,0.61628,0.77079,1
1789335216.1887,303.90366,12469261180,0.61777,0.78065,1,0.61614,0.75622,1,0.61695,0.76844,1
1789335216.1955,303.91037,12469328241,0.61969,0.77402,1,0.61397,0.71142,1,0.61683,0.74272,1
1789335216.2024,303.91730,12469397430,0.62146,0.76758,1,0.61687,0.70850,1,0.61917,0.73804,1
1789335216.2089,303.92377,12469462174,0.62196,0.76338,1,0.61819,0.70342,1,0.62007,0.73340,1
1789335216.2158,303.93073,12469531627,0.61539,0.77109,1,0.61503,0.70641,1,0.61521,0.73875,1
1789335216.2226,303.93747,12469599138,0.62098,0.76288,1,0.60981,0.74643,1,0.61539,0.75466,1
1789335216.2289,303.94385,12469663065,0.62098,0.76288,1,0.60981,0.74643,1,0.61539,0.75466,1
1789335216.2359,303.95084,12469732857,0.61944,0.76013,1,0.61621,0.72326,1,0.61783,0.74170,1
1789335216.2424,303.95728,12469797176,0.61802,0.75362,1,0.61641,0.73132,1,0.61721,0.74247,1
1789335216.2490,303.96396,12469864161,0.61802,0.75362,1,0.61641,0.73132,1,0.61721,0.74247,1
1789335216.2560,303.97089,12469933345,0.61091,0.74638,1,0.60500,0.76977,1,0.60796,0.75807,1
1789335216.2624,303.97736,12469998069,0.61231,0.73667,1,0.61069,0.76436,1,0.61150,0.75052,1
1789335216.2692,303.98407,12470065166,0.61267,0.73276,1,0.61180,0.76037,1,0.61224,0.74656,1
1789335216.2761,303.99100,12470134599,0.60648,0.75858,1,0.60599,0.74452,1,0.60624,0.75155,1
1789335216.2829,303.99783,12470202856,0.60836,0.75915,1,0.60707,0.72697,1,0.60771,0.74306,1
1789335216.2892,304.00415,12470266119,0.60867,0.75552,1,0.60812,0.72277,1,0.60840,0.73914,1
1789335216.2959,304.01083,12470332926,0.60392,0.73516,1,0.60460,0.70982,1,0.60426,0.72249,1
1789335216.3026,304.01755,12470400000,0.60551,0.72717,1,0.59956,0.69714,1,0.60253,0.71215,1
1789335216.3096,304.02448,12470469137,0.60551,0.72717,1,0.59845,0.70211,1,0.60198,0.71464,1
1789335216.3160,304.03094,12470533826,0.60059,0.75387,1,0.60276,0.69634,1,0.60167,0.72510,1
1789335216.3227,304.03766,12470600987,0.59701,0.75151,1,0.59563,0.73727,1,0.59632,0.74439,1
1789335216.3296,304.04456,12470670105,0.59701,0.75141,1,0.59565,0.73716,1,0.59633,0.74428,1
1789335216.3361,304.05103,12470734768,0.59750,0.74845,1,0.60038,0.76550,1,0.59894,0.75697,1
1789335216.3428,304.05774,12470801921,0.59842,0.73268,1,0.60285,0.75727,1,0.60063,0.74498,1
1789335216.3498,304.06467,12470871234,0.59842,0.73268,1,0.60285,0.75727,1,0.60063,0.74498,1
1789335216.3562,304.07114,12470935852,0.62066,0.73211,1,0.60116,0.74962,1,0.61091,0.74086,1
1789335216.3631,304.07806,12471005113,0.61713,0.73591,1,0.59583,0.74651,1,0.60648,0.74121,1
1789335216.3699,304.08484,12471072895,0.61668,0.74041,1,0.59470,0.75126,1,0.60569,0.74583,1
1789335216.3763,304.09122,12471136735,0.63080,0.77207,1,0.64718,0.75768,1,0.63899,0.76488,1
1789335216.3833,304.09824,12471206816,0.66558,0.79709,1,0.68159,0.76757,1,0.67358,0.78233,1
1789335216.3897,304.10461,12471270575,0.66558,0.79709,1,0.68159,0.76757,1,0.67358,0.78233,1
1789335216.3964,304.11136,12471338130,0.69571,0.81264,1,0.72753,0.75653,1,0.71162,0.78458,1
1789335216.4033,304.11823,12471406878,0.76686,0.78664,1,0.76819,0.77317,1,0.76752,0.77991,1
1789335216.4098,304.12473,12471471772,0.76523,0.79009,1,0.76575,0.77713,1,0.76549,0.78361,1
1789335216.4165,304.13141,12471538641,0.84283,0.81064,1,0.82234,0.85118,1,0.83259,0.83091,1
1789335216.4235,304.13843,12471608783,0.83070,0.82519,1,0.85614,0.85995,1,0.84342,0.84257,1
1789335216.4299,304.14481,12471672537,0.82849,0.82838,1,0.85288,0.86327,1,0.84069,0.84582,1
1789335216.4369,304.15179,12471742539,0.82672,0.81313,1,0.84553,0.86198,1,0.83613,0.83756,1
1789335216.4436,304.15854,12471809803,0.82130,0.81390,1,0.84412,0.85440,1,0.83271,0.83415,1
1789335216.4500,304.16489,12471873418,0.82130,0.81390,1,0.84102,0.85771,1,0.83116,0.83581,1
1789335216.4569,304.17181,12471942777,0.83751,0.81559,1,0.84747,0.83475,1,0.84249,0.82517,1
1789335216.4634,304.17831,12472007776,0.83830,0.84849,1,0.83770,0.83601,1,0.83800,0.84225,1
1789335216.4701,304.18500,12472074525,0.83835,0.84842,1,0.83777,0.83592,1,0.83806,0.84217,1
1789335216.4770,304.19193,12472143762,0.83553,0.86599,1,0.84539,0.83888,1,0.84046,0.85243,1
1789335216.4835,304.19839,12472208415,0.83614,0.85634,1,0.84072,0.88052,1,0.83843,0.86843,1
1789335216.4902,304.20511,12472275489,0.83844,0.85336,1,0.84390,0.87733,1,0.84117,0.86535,1
1789335216.4972,304.21213,12472345685,0.85494,0.83759,1,0.85481,0.84918,1,0.85487,0.84338,1
1789335216.5036,304.21851,12472409482,0.85726,0.83250,1,0.84761,0.83852,1,0.85243,0.83551,1
1789335216.5103,304.22519,12472476502,0.85726,0.83250,1,0.84761,0.83852,1,0.85243,0.83551,1
1789335216.5172,304.23212,12472545689,0.85685,0.84284,1,0.84924,0.82578,1,0.85304,0.83431,1
1789335216.5237,304.23859,12472610494,0.83847,0.87419,1,0.85578,0.80669,1,0.84713,0.84044,1
1789335216.5304,304.24536,12472678050,0.83847,0.87419,1,0.85578,0.80669,1,0.84713,0.84044,1
1789335216.5373,304.25226,12472747203,0.84387,0.84461,1,0.86050,0.85892,1,0.85219,0.85177,1
1789335216.5438,304.25867,12472811314,0.84788,0.83717,1,0.85913,0.85539,1,0.85351,0.84628,1
1789335216.5505,304.26538,12472878222,0.84788,0.83717,1,0.85913,0.85539,1,0.85351,0.84628,1
1789335216.5572,304.27209,12472945341,0.83584,0.84416,1,0.85559,0.81932,1,0.84572,0.83174,1
1789335216.5641,304.27902,12473014676,0.84194,0.83443,1,0.86007,0.81974,1,0.85101,0.82709,1
1789335216.5705,304.28546,12473079249,0.84194,0.83443,1,0.85723,0.82290,1,0.84959,0.82867,1
1789335216.5776,304.29248,12473149398,0.86106,0.84810,1,0.84913,0.87793,1,0.85510,0.86302,1
1789335216.5842,304.29910,12473215633,0.84455,0.83742,1,0.85365,0.87355,1,0.84910,0.85549,1
1789335216.5907,304.30557,12473280383,0.84251,0.84012,1,0.85365,0.87355,1,0.84808,0.85684,1
1789335216.5976,304.31250,12473349641,0.83860,0.82055,1,0.85090,0.85566,1,0.84475,0.83810,1
1789335216.6043,304.31924,12473416959,0.84616,0.84940,1,0.86841,0.89388,1,0.85729,0.87164,1
1789335216.6110,304.32590,12473483543,0.84822,0.84679,1,0.86841,0.89388,1,0.85831,0.87034,1
1789335216.6177,304.33264,12473550916,0.84536,0.84848,1,0.85995,0.87700,1,0.85266,0.86274,1
1789335216.6242,304.33908,12473615284,0.85727,0.84616,1,0.84647,0.86869,1,0.85187,0.85743,1
1789335216.6311,304.34598,12473684391,0.85513,0.84879,1,0.84967,0.86542,1,0.85240,0.85711,1
1789335216.6376,304.35248,12473749198,0.85479,0.82168,1,0.84856,0.85564,1,0.85167,0.83866,1
1789335216.6442,304.35916,12473816271,0.84256,0.80280,1,0.87319,0.83705,1,0.85788,0.81993,1
1789335216.6510,304.36588,12473883153,0.84449,0.79998,1,0.87270,0.83756,1,0.85860,0.81877,1
1789335216.6576,304.37256,12473950150,0.86745,0.85913,1,0.85731,0.87418,1,0.86238,0.86665,1
1789335216.6643,304.37924,12474017019,0.84739,0.84997,1,0.83634,0.88467,1,0.84187,0.86732,1
1789335216.6713,304.38617,12474086328,0.84505,0.85293,1,0.83634,0.88467,1,0.84069,0.86880,1
1789335216.6780,304.39288,12474153216,0.84358,0.83986,1,0.85992,0.89037,1,0.85175,0.86511,1
1789335216.6847,304.39957,12474220155,0.85394,0.82648,1,0.85371,0.89034,1,0.85382,0.85841,1
1789335216.6912,304.40607,12474285184,0.85869,0.82023,1,0.86005,0.88436,1,0.85937,0.85229,1
1789335216.6978,304.41275,12474352030,0.87126,0.80128,1,0.86857,0.87441,1,0.86991,0.83784,1
1789335216.7049,304.41980,12474422441,0.85384,0.80336,1,0.85203,0.87887,1,0.85293,0.84112,1
1789335216.7112,304.42615,12474486093,0.85384,0.80336,1,0.85203,0.87887,1,0.85293,0.84112,1
1789335216.7182,304.43311,12474555666,0.85860,0.78400,1,0.86811,0.88026,1,0.86336,0.83213,1
1789335216.7246,304.43954,12474620085,0.87204,0.78873,1,0.86847,0.88304,1,0.87025,0.83588,1
1789335216.7313,304.44626,12474687107,0.87204,0.78873,1,0.86847,0.88304,1,0.87025,0.83588,1
1789335216.7383,304.45322,12474756619,0.85255,0.79378,1,0.87503,0.88171,1,0.86379,0.83774,1
1789335216.7447,304.45966,12474820958,0.85406,0.79690,1,0.88021,0.87427,1,0.86714,0.83559,1
1789335216.7514,304.46634,12474887992,0.85172,0.80023,1,0.87354,0.88043,1,0.86263,0.84033,1
1789335216.7585,304.47339,12474958414,0.84896,0.80702,1,0.83927,0.89102,1,0.84411,0.84902,1
1789335216.7650,304.47995,12475024013,0.84502,0.81490,1,0.83450,0.90867,1,0.83976,0.86178,1
1789335216.7718,304.48669,12475091569,0.84033,0.82148,1,0.82826,0.91452,1,0.83430,0.86800,1
1789335216.7782,304.49313,12475156002,0.84365,0.82768,1,0.82968,0.88170,1,0.83666,0.85469,1
1789335216.7851,304.50006,12475225037,0.84085,0.82799,1,0.83284,0.89364,1,0.83685,0.86082,1
1789335216.7920,304.50687,12475293269,0.84085,0.82799,1,0.83284,0.89364,1,0.83685,0.86082,1
1789335216.7983,304.51324,12475356880,0.84356,0.82775,1,0.82402,0.86361,1,0.83379,0.84568,1
1789335216.8050,304.51993,12475423768,0.84472,0.83144,1,0.83041,0.88779,1,0.83756,0.85962,1
1789335216.8119,304.52682,12475492848,0.84472,0.83144,1,0.83041,0.88779,1,0.83756,0.85962,1
1789335216.8186,304.53354,12475560042,0.84428,0.83130,1,0.84529,0.90120,1,0.84479,0.86625,1
1789335216.8254,304.54028,12475627324,0.84514,0.82766,1,0.84369,0.89115,1,0.84442,0.85940,1
1789335216.8320,304.54694,12475693934,0.84514,0.82766,1,0.84369,0.89115,1,0.84442,0.85940,1
1789335216.8387,304.55362,12475760817,0.84502,0.82074,1,0.84399,0.89744,1,0.84450,0.85909,1
1789335216.8452,304.56009,12475825552,0.84159,0.82174,1,0.84480,0.87817,1,0.84319,0.84995,1
1789335216.8521,304.56702,12475894825,0.84399,0.81838,1,0.85132,0.87165,1,0.84766,0.84502,1
1789335216.8588,304.57373,12475961758,0.84121,0.84750,1,0.84959,0.86327,1,0.84540,0.85538,1
1789335216.8653,304.58020,12476026555,0.84580,0.83156,1,0.85842,0.86749,1,0.85211,0.84953,1
1789335216.8723,304.58719,12476096407,0.85042,0.82539,1,0.86484,0.86111,1,0.85763,0.84325,1
1789335216.8787,304.59360,12476160564,0.84887,0.83059,1,0.85851,0.85292,1,0.85369,0.84175,1
1789335216.8857,304.60059,12476230359,0.85212,0.82795,1,0.85590,0.85589,1,0.85401,0.84192,1
1789335216.8921,304.60699,12476294554,0.85212,0.82795,1,0.85590,0.85589,1,0.85401,0.84192,1
1789335216.8990,304.61392,12476363647,0.89450,0.82342,1,0.87733,0.84997,1,0.88592,0.83669,1
1789335216.9055,304.62039,12476428542,0.89369,0.81817,1,0.87186,0.85313,1,0.88277,0.83565,1
1789335216.9122,304.62708,12476495385,0.89369,0.81817,1,0.87186,0.85313,1,0.88277,0.83565,1
1789335216.9191,304.63400,12476564557,0.88821,0.82536,1,0.86446,0.81833,1,0.87634,0.82185,1
1789335216.9256,304.64047,12476629339,0.88546,0.78587,1,0.86047,0.82591,1,0.87296,0.80589,1
1789335216.9323,304.64719,12476696422,0.88546,0.78587,1,0.86047,0.82591,1,0.87296,0.80589,1
1789335216.9392,304.65414,12476766051,0.87833,0.79257,1,0.85248,0.82641,1,0.86541,0.80949,1
1789335216.9457,304.66058,12476830326,0.87316,0.79401,1,0.86182,0.83049,1,0.86749,0.81225,1
1789335216.9524,304.66730,12476897466,0.87066,0.79735,1,0.85545,0.83739,1,0.86306,0.81737,1
1789335216.9593,304.67426,12476967135,0.86458,0.80416,1,0.83996,0.83647,1,0.85227,0.82032,1
1789335216.9657,304.68066,12477031267,0.85722,0.80769,1,0.83698,0.83739,1,0.84710,0.82254,1
1789335216.9727,304.68762,12477100761,0.85233,0.81438,1,0.83070,0.84451,1,0.84152,0.82944,1
1789335216.9794,304.69434,12477167840,0.84823,0.85316,1,0.84887,0.83347,1,0.84855,0.84331,1
1789335216.9859,304.70078,12477232318,0.84696,0.81743,1,0.82598,0.88198,1,0.83647,0.84970,1
1789335216.9925,304.70746,12477299173,0.84696,0.81743,1,0.82598,0.88198,1,0.83647,0.84970,1
1789335216.9993,304.71417,12477366302,0.84746,0.84868,1,0.84706,0.88267,1,0.84726,0.86567,1
1789335217.0062,304.72110,12477435397,0.84343,0.84222,1,0.84397,0.89110,1,0.84370,0.86666,1
1789335217.0127,304.72757,12477500080,0.84343,0.84222,1,0.84397,0.89110,1,0.84370,0.86666,1
1789335217.0194,304.73428,12477567239,0.83964,0.86562,1,0.84084,0.87609,1,0.84024,0.87085,1
1789335217.0263,304.74121,12477636714,0.86223,0.85402,1,0.83902,0.88021,1,0.85063,0.86712,1
1789335217.0328,304.74768,12477701217,0.86482,0.85096,1,0.84544,0.87373,1,0.85513,0.86235,1
1789335217.0397,304.75458,12477770235,0.88741,0.84791,1,0.84547,0.85602,1,0.86644,0.85197,1
1789335217.0461,304.76105,12477835131,0.89137,0.84374,1,0.84993,0.84903,1,0.87065,0.84639,1
1789335217.0528,304.76776,12477902003,0.89675,0.83780,1,0.85621,0.84234,1,0.87648,0.84007,1
1789335217.0599,304.77484,12477972805,0.89069,0.84410,1,0.87603,0.85018,1,0.88336,0.84714,1
1789335217.0662,304.78113,12478035951,0.88872,0.84816,1,0.86817,0.84289,1,0.87845,0.84553,1
1789335217.0733,304.78824,12478106770,0.88872,0.84816,1,0.86817,0.84289,1,0.87845,0.84553,1
